Player Name,Weekly Wage,Yearly Salary,Age,Position,Nationality,Team
Moussa Konaté,20000.0,1040000.0,26.0,"AM R, ST",Senegal,Amiens
Serhou Guirassy,20000.0,1040000.0,23.0,"AM L, ST",France,Amiens
Chadrac Akolo,17000.0,884000.0,24.0,AM RL,DR Congo,Amiens
Fousséni Diabaté,15000.0,780000.0,23.0,"AM RL, ST",Mali,Amiens
Isaac Mbenza,15000.0,780000.0,23.0,"AM L, ST",Belgium,Amiens
Saman Ghoddos,15000.0,780000.0,25.0,"AM RLC, F C",Iran,Amiens
Bongani Zungu,12000.0,624000.0,26.0,DM,South Africa,Amiens
Gaël Kakuta,12000.0,624000.0,28.0,AM RLC,DR Congo,Amiens
Aurélien Chedjou,11000.0,572000.0,34.0,"D C, DM",Cameroon,Amiens
Bakaye Dibassy,10000.0,520000.0,29.0,D LC,Mali,Amiens
Prince-Désir Gouano,10000.0,520000.0,25.0,D C,France,Amiens
Thomas Monconduit,10000.0,520000.0,28.0,DM,France,Amiens
Alexis Blin,8000.0,416000.0,22.0,DM,France,Amiens
Christophe Jallet,8000.0,416000.0,35.0,D/WB RL,France,Amiens
Arturo Calabresi,6000.0,312000.0,23.0,D RC,Italy,Amiens
Haitam Aleesami,6000.0,312000.0,27.0,D/WB/M L,Norway,Amiens
Nicholas Opoku,6000.0,312000.0,21.0,D C,Ghana,Amiens
Stiven Mendoza,6000.0,312000.0,27.0,"AM RL, ST",Colombia,Amiens
Juan Otero,5000.0,260000.0,24.0,"AM R, ST",Colombia,Amiens
Régis Gurtner,5000.0,260000.0,32.0,GK,France,Amiens
Loïc Badiashile,4000.0,208000.0,21.0,GK,France,Amiens
Mathieu Bodmer,4000.0,208000.0,36.0,"DM, AM C",France,Amiens
Matthieu Dreyer,3000.0,156000.0,30.0,GK,France,Amiens
Jonathan Bumbu,2000.0,104000.0,20.0,"D R, M C",France,Amiens
Ulrick Enémé Ella,2000.0,104000.0,18.0,AM/F C,France,Amiens
Quentin Cornette,1000.0,52000.0,25.0,AM RLC,France,Amiens
Ayoub Sefraoui,800.0,41600.0,19.0,AM L,France,Amiens
Paul Joly,790.0,41080.0,19.0,"D C, DM",France,Amiens
Darell Tokpa,660.0,34320.0,18.0,ST,France,Amiens
Driss Khalid,660.0,34320.0,20.0,AM LC,Morocco,Amiens
Max Gradel,38000.0,1976000.0,31.0,AM RLC,Ivory Coast,Toulouse
