Player Name,Weekly Wage,Yearly Salary,Age,Position,Nationality,Team
Fernando Pacheco,30000.0,1560000.0,29.0,GK,Spain,Alavés
Florian Lejeune,29000.0,1508000.0,30.0,D C,France,Alavés
Facundo Pellistri,27000.0,1404000.0,19.0,"AM R, ST",Uruguay,Alavés
Matt Miazga,16000.0,832000.0,25.0,D C,U.S.A.,Alavés
Joselu,16000.0,832000.0,31.0,ST,Spain,Alavés
Iván Martín,13000.0,676000.0,22.0,AM RLC,Spain,Alavés
Luis Rioja,12000.0,624000.0,27.0,AM RL,Spain,Alavés
Édgar Méndez,12000.0,624000.0,31.0,AM RL,Spain,Alavés
Manu García,11000.0,572000.0,23.0,AM C,Spain,Alavés
Tomás Pina,10000.0,520000.0,33.0,DM,Spain,Alavés
Pere Pons,10000.0,520000.0,28.0,DM,Spain,Alavés
Víctor Laguardia,9000.0,468000.0,31.0,D C,Spain,Alavés
Rubén Duarte,8000.0,416000.0,25.0,D LC,Spain,Alavés
Mamadou Loum,6900.0,358800.0,24.0,DM,Senegal,Alavés
Ximo Navarro,6400.0,332800.0,31.0,D RC,Spain,Alavés
Martín Aguirregabiría,5900.0,306800.0,24.0,D/WB R,Spain,Alavés
Antonio Sivera,5500.0,286000.0,24.0,GK,Spain,Alavés
Saúl,4600.0,239200.0,26.0,D/WB L,Spain,Alavés
Tachi,4600.0,239200.0,23.0,D C,Spain,Alavés
Toni Moya,4600.0,239200.0,23.0,M C,Spain,Alavés
John Guidetti,4100.0,213200.0,29.0,ST,Sweden,Alavés
Javi López,3100.0,161200.0,19.0,D/WB L,Spain,Alavés
Miguel De la Fuente,2900.0,150800.0,21.0,ST,Spain,Alavés
Mamadou Sylla,2900.0,150800.0,27.0,"AM R, ST",Spain,Alavés
Dominik Földi,60.0,3120.0,17.0,"AM L, ST",Hungary,Alavés
Iñaki Williams,189000.0,9828000.0,27.0,"AM RLC, F C",Spain,A. Bilbao
Íñigo Martínez,147000.0,7644000.0,30.0,D C,Spain,A. Bilbao
Raúl García,93000.0,4836000.0,35.0,AM/F C,Spain,A. Bilbao
Yuri,71000.0,3692000.0,31.0,D/WB L,Spain,A. Bilbao
Unai Simón,55000.0,2860000.0,24.0,GK,Spain,A. Bilbao
Iker Muniain,37000.0,1924000.0,28.0,AM RLC,Spain,A. Bilbao
Yeray,26000.0,1352000.0,26.0,D C,Spain,A. Bilbao
Ander Capa,26000.0,1352000.0,29.0,D/WB/AM R,Spain,A. Bilbao
Dani García,22000.0,1144000.0,31.0,DM,Spain,A. Bilbao
Álex Berenguer,21000.0,1092000.0,26.0,"WB L, AM RLC",Spain,A. Bilbao
Unai Núñez,18000.0,936000.0,24.0,D C,Spain,A. Bilbao
Mikel Vesga,18000.0,936000.0,28.0,DM,Spain,A. Bilbao
Asier Villalibre,16000.0,832000.0,23.0,ST,Spain,A. Bilbao
Unai Vencedor,15000.0,780000.0,20.0,DM,Spain,A. Bilbao
Jon Morcillo,14000.0,728000.0,22.0,"AM RL, ST",Spain,A. Bilbao
Jokin Ezkieta,12000.0,624000.0,24.0,GK,Spain,A. Bilbao
Dani Vivian,12000.0,624000.0,22.0,"D C, DM",Spain,A. Bilbao
Oihan Sancet,11000.0,572000.0,21.0,AM C,Spain,A. Bilbao
Óscar De Marcos,10000.0,520000.0,32.0,D/WB/AM R,Spain,A. Bilbao
Mikel Balenziaga,8900.0,462800.0,33.0,D/WB/AM L,Spain,A. Bilbao
Íñigo Lekue,6000.0,312000.0,28.0,"D/WB RL, AM R",Spain,A. Bilbao
Peru Nolaskoain,4800.0,249600.0,22.0,"D C, DM",Spain,A. Bilbao
Oier Zarraga,4800.0,249600.0,22.0,AM C,Spain,A. Bilbao
Álex Petxarromán,3000.0,156000.0,24.0,D R,Spain,A. Bilbao
Antoine Griezmann,351000.0,18252000.0,30.0,"AM RLC, F C",France,A. Madrid
Luis Suárez,263000.0,13676000.0,34.0,ST,Uruguay,A. Madrid
Koke,262000.0,13624000.0,29.0,M RLC,Spain,A. Madrid
Jan Oblak,253000.0,13156000.0,28.0,GK,Slovenia,A. Madrid
João Félix,154000.0,8008000.0,21.0,"AM RLC, F C",Portugal,A. Madrid
Mario Hermoso,141000.0,7332000.0,26.0,D LC,Spain,A. Madrid
Yannick Carrasco,141000.0,7332000.0,27.0,"WB L, AM RL",Belgium,A. Madrid
Geoffrey Kondogbia,107000.0,5564000.0,28.0,DM,Central African Rep.,A. Madrid
Thomas Lemar,106000.0,5512000.0,25.0,"WB L, AM RLC",France,A. Madrid
Šime Vrsaljko,85000.0,4420000.0,29.0,D/WB/M R,Croatia,A. Madrid
