Player Name,Weekly Wage,Yearly Salary,Age,Position,Nationality,Team
Wilfried Zaha,130000,6760000,28,"AM RL, ST",Ivory Coast,Crystal Palace
Christian Benteke,120000,6240000,30,ST,Belgium,Crystal Palace
Luka Milivojević,80000,4160000,30,DM,Serbia,Crystal Palace
Odsonne Edouard,79000,4108000,23,ST,France,Crystal Palace
Joachim Andersen,70000,3640000,25,D C,Denmark,Crystal Palace
Cheikhou Kouyaté,67000,3484000,31,"D C, DM",Senegal,Crystal Palace
Jairo Riedewald,65000,3380000,24,"D L, DM",Holland,Crystal Palace
Jeffrey Schlupp,60000,3120000,28,"D/WB L, AM LC",Ghana,Crystal Palace
Vicente Guaita,57000,2964000,34,GK,Spain,Crystal Palace
James Tomkins,55000,2860000,32,D RC,England,Crystal Palace
James McArthur,55000,2860000,33,"DM, M RC",Scotland,Crystal Palace
Ebere Eze,37000,1924000,23,AM RLC,England,Crystal Palace
Will Hughes,36000,1872000,26,"DM, AM RC",England,Crystal Palace
Jack Butland,35000,1820000,28,GK,England,Crystal Palace
Joel Ward,35000,1820000,31,D RL,England,Crystal Palace
Jordan Ayew,35000,1820000,29,"AM R, ST",Ghana,Crystal Palace
Nathan Ferguson,34000,1768000,20,D RC,England,Crystal Palace
Michael Olise,34000,1768000,19,AM RLC,France,Crystal Palace
Marc Guehi,31000,1612000,20,D LC,England,Crystal Palace
Jean-Philippe Mateta,30000,1560000,24,ST,France,Crystal Palace
Tyrick Mitchell,25000,1300000,21,D/WB L,England,Crystal Palace
Martin Kelly,24000,1248000,31,D RC,England,Crystal Palace
Nathaniel Clyne,19000,988000,30,D/WB R,England,Crystal Palace
Conor Gallagher,17000,884000,21,AM C,England,Crystal Palace
Jarosław Jach,10000,520000,27,D C,Poland,Crystal Palace
Jack Roles,8100,421200,22,AM C,Cyprus,Crystal Palace
Nya Kirby,6900,358800,21,DM,England,Crystal Palace
Remi Matthews,4700,244400,27,GK,England,Crystal Palace
Luke Dreher,3000,156000,22,DM,England,Crystal Palace
Scott Banks,2600,135200,19,AM RLC,Scotland,Crystal Palace
Jamie Vardy,160000,8320000,34,ST,England,Leicester City
Kasper Schmeichel,130000,6760000,34,GK,Denmark,Leicester City
Youri Tielemans,120000,6240000,24,AM C,Belgium,Leicester City
James Maddison,110000,5720000,24,AM LC,England,Leicester City
Jonny Evans,100000,5200000,33,D C,N.Ireland,Leicester City
Harvey Barnes,100000,5200000,23,AM RLC,England,Leicester City
Kelechi Ịheanachọ,90000,4680000,24,AM/F C,Nigeria,Leicester City
Boubakary Soumaré,83000,4316000,22,DM,France,Leicester City
Ayoze Pérez,83000,4316000,27,"AM RC, F C",Spain,Leicester City
Patson Daka,79000,4108000,22,ST,Zambia,Leicester City
Ryan Bertrand,78000,4056000,31,D/WB L,England,Leicester City
Wilfred Ndidi,76000,3952000,24,DM,Nigeria,Leicester City
Jannik Vestergaard,75000,3900000,28,D C,Denmark,Leicester City
Ricardo Pereira,68000,3536000,27,D/WB/AM R,Portugal,Leicester City
Timothy Castagne,67000,3484000,25,D/WB/M RL,Belgium,Leicester City
Marc Albrighton,64000,3328000,31,WB/AM RL,England,Leicester City
Hamza Choudhury,61000,3172000,23,DM,England,Leicester City
Daniel Amartey,57000,2964000,26,"D RC, DM",Ghana,Leicester City
Ademola Lookman,52000,2704000,23,"AM RL, ST",England,Leicester City
Wesley Fofana,51000,2652000,20,D C,France,Leicester City
Nampalys Mendy,49000,2548000,29,DM,Senegal,Leicester City
